Method family,Type of paper,Method description,DOI,Citations,Year,Open source,Language,Repository,Strengths,Limitations
1. Statistical / geostatistical interpolation,Method,"IDW, kriging, natural-neighbor spatiotemporal interpolation",10.3390/jmse14040343,0,2026,No,,,"Simple, computationally cheap, no training required; good baseline for coastal monitoring",Assumes smooth spatial variation; performs poorly across sharp fronts or large gaps
1. Statistical / geostatistical interpolation,Application,NOAA Optimum Interpolation 1/4 Degree Daily SST,10.7289/V5SQ8XB5,,2008,No,,,,
2. EOF / mode decomposition,Method,same-latitude DINEOF,10.3785/j.issn.1008-9497.2015.02.016,NA,2015,No,,,Restricting EOF calculation to same-latitude bands can improve computational efficiency and regional accuracy,Latitude-banding assumption may not hold in regions with strong meridional gradients
2. EOF / mode decomposition,Application,Chlorophyll-a in the Bohai Sea,10.12082/dqxxkx.2021.200669,NA,NA,No,,,Demonstrates DINEOF's robustness for a regional/sensor-specific gap-filling case,Application-only study; inherits core DINEOF limitations
2. EOF / mode decomposition,Application,,"10.3969/j.issn.1000-3177,2014.05.009",NA,NA,No,,,Demonstrates DINEOF's robustness for a regional/sensor-specific gap-filling case,Application-only study; inherits core DINEOF limitations
2. EOF / mode decomposition,Application,chlorophyll over the exclusive economic zone of Mexico (EEZM),10.7717/peerj-cs.979,?,2022,No,,,,
2. EOF / mode decomposition,Method,EOF Calculations and Data Filling from Incomplete Oceanographic Datasets,10.1175/1520-0426(2003)020<1839:ECADFF>2.0.CO;2,649,2003,Yes,Fortran,https://github.com/aida-alvera/DINEOF,Predates deep-learning alternatives; performance ceiling limited by the linear EOF assumption,Predates deep-learning alternatives; performance ceiling limited by the linear EOF assumption
2. EOF / mode decomposition,Method,truncated EOF decomposition,10.1016/j.ocemod.2004.08.001 ,388,2004,Yes,Fortran,https://github.com/aida-alvera/DINEOF,"Foundational, widely validated, open-source; no training data required beyond the target dataset itself",Assumes linear covariance structure; can over-smooth small-scale features; truncation parameter choice is subjective
2. EOF / mode decomposition,Application,Singular Spectrum Analysis (SSA),10.5194/npg-13-151-2006,247,2006,No,,,,
2. EOF / mode decomposition,Application,DINEOF applied to VIIRS Global Ocean Color Products ,10.1109/TGRS.2018.2820423,129,2018,No,,,Demonstrates DINEOF's robustness for a regional/sensor-specific gap-filling case,Application-only study; inherits core DINEOF limitations
2. EOF / mode decomposition,Method,Recursively subtracted empirical orthogonal functions,10.1175/JCLI-D-13-00089.1,94,2013,Yes,R,https://www.r-bloggers.com/2014/09/pca-eof-for-data-with-missing-values-a-comparison-of-accuracy/#google_vignette,Iterative mode-subtraction improves convergence and accuracy over classical EOF gap-filling; open-source R implementation,Iterative recursion increases computational cost relative to single-pass EOF methods
2. EOF / mode decomposition,Application,DINEOF applied to Merged VIIRS SNPP/NOAA-20 Ocean Color Product,10.3390/rs11020178,94,2019,No,,,Demonstrates DINEOF application to VIIRS SST time series,Application-only study; no methodological innovation
2. EOF / mode decomposition,Method,DINEOF with enhanced temporal correlation,10.5194/os-5-475-2009,91,2009,Yes,,https://github.com/aida-alvera/DINEOF,Improves DINEOF's temporal consistency using advection information; open-source and actively maintained (GHER),"Requires estimating advection velocities, adding complexity and a potential error source"
2. EOF / mode decomposition,Application,SST in the Southern North Sea,10.1016/j.seares.2010.08.002,87,2010,No,,,Demonstrates DINEOF's robustness for a regional/sensor-specific gap-filling case,Application-only study; inherits core DINEOF limitations
2. EOF / mode decomposition,Application,SMOS interp,10.1016/j.rse.2016.02.044,86,2016,Yes,,https://github.com/aida-alvera/DINEOF,Extends DINEOF-style gap-filling to satellite salinity (SMOS) data,"Salinity retrievals are noisier than SST/chlorophyll, complicating EOF-based reconstruction"
2. EOF / mode decomposition,Application,DINEOF applied to SST and Chl-a concentration in the East China Sea ,10.1016/j.jag.2018.01.020,84,2018,No,,,Multivariate extension improves cross-variable consistency in reconstruction,Application study; regional/sensor-specific validation only
2. EOF / mode decomposition,Application,Satellite-Derived Chlorophyll-a,10.3390/rs10091449,82,2018,No,,,Demonstrates DINEOF's robustness for a regional/sensor-specific gap-filling case,Application-only study; inherits core DINEOF limitations
2. EOF / mode decomposition,Method,SMOS sea surface salinity global maps,10.5194/essd-13-857-2021,75,2021,No,,,,
2. EOF / mode decomposition,Application,High frequency geostationary ocean colour,10.1016/j.ecss.2015.03.026,56,2015,No,,,Demonstrates DINEOF's robustness for a regional/sensor-specific gap-filling case,Application-only study; inherits core DINEOF limitations
2. EOF / mode decomposition,Method,Multivariate and Multifractal Analysis for SMOS salinity,10.3390/rs10030485,54,2018,No,,,Combines EOF decomposition with multifractal analysis to better capture small-scale variability,Added mathematical complexity; multifractal parameter estimation is sensitive to noise
2. EOF / mode decomposition,Method,SMOS ; debiased non-Bayesian approach + DINEOF + fractal ,10.3390/rs10030485,54,2018,No,,,,
2. EOF / mode decomposition,Method,VE-DINEOF = variable EOFs DINEOF,10.1371/journal.pone.0155928,53,2016,No,,,"Weights EOF modes by variable importance, improving multivariate reconstruction accuracy",Added complexity in the mode-weighting scheme vs. standard DINEOF
2. EOF / mode decomposition,Application,Multivariate Adriatic Sea,10.1029/2006JC003545,44,2007,No,,,Demonstrates multivariate DINEOF combining SST and chlorophyll to improve reconstruction of both,Requires co-located multivariate datasets; regional case study limits generalizability
2. EOF / mode decomposition,Method,Principal component analysis,10.1109/TGRS.2009.2019726,43,2009,No,,,"Simple, well-understood decomposition; computationally efficient for moderate-sized datasets",Assumes linear relationships between modes; struggles with highly nonlinear ocean dynamics
2. EOF / mode decomposition,Application,Chlorophyll-a data from MODIS in Arabian Sea,10.1080/01431161.2018.1471540,43,2018,No,,,Demonstrates DINEOF's robustness for a regional/sensor-specific gap-filling case,Application-only study; inherits core DINEOF limitations
2. EOF / mode decomposition,Application,Application of DINEOF in the Bay of Biscay,10.1080/01431160903491420,33,2011,No,,,Demonstrates DINEOF robustness on a regional SST series with heavy seasonal cloud cover,Regional case study only; no algorithmic novelty or generalization beyond the study area
2. EOF / mode decomposition,Application,ocean diurnal variations from the Korean Geostationary Ocean Color Imager,10.1016/j.ecss.2016.07.006,33,2016,No,,,Demonstrates DINEOF's robustness for a regional/sensor-specific gap-filling case,Application-only study; inherits core DINEOF limitations
2. EOF / mode decomposition,Application,wavelets MODIS chl-a,10.1016/j.csr.2013.12.010,29,2014,No,,,Combines wavelet decomposition with DINEOF to better capture multi-scale variability in chlorophyll,Additional wavelet parameter tuning required; increased methodological complexity
2. EOF / mode decomposition,Application,Multivariate EOF to derive nitrate concentration,10.1175/JTECH-D-18-0018.1,18,2018,No,,,,
2. EOF / mode decomposition,Method,impact of gap-filling algorithms on variability patterns of reconstructed oceanic surface fields,10.1029/2000GL012664,14,2001,No,,,,
2. EOF / mode decomposition,Method,empirical function (EF) method,10.1109/TGRS.2023.3335940,8,2023,No,,,,
2. EOF / mode decomposition,Method,DINEOF applied to to hourly GEO-KOMPSAT-2A/Advanced Meteorological Imager (GK2A/AMI) SST,10.1080/15481603.2024.2447746,5,2025,No,,,Enables continuous gap-free geostationary SST for real-time marine heatwave detection,EOF truncation choice affects accuracy; less effective for sub-daily/high-frequency variability
2. EOF / mode decomposition,Application,Gap filling for marine heatwave detection,10.1080/15481603.2024.2447746,5,2025,No,,,Enables continuous gap-free geostationary SST for real-time marine heatwave detection,EOF truncation choice affects accuracy; less effective for sub-daily/high-frequency variability
2. EOF / mode decomposition,Method,Concentration-Stratified DINEOF (CS-DINEOF),10.3390/app14072803,3,2024,No,,,,
2. EOF / mode decomposition,Method,Improved VE-DINEOF (see next entry),10.1109/IGARSS.2019.8900452,1,2019,No,,,Refines VE-DINEOF's variable-EOF weighting for improved reconstruction accuracy,Conference paper (IGARSS); less rigorous review process and detail than a journal article
2. EOF / mode decomposition,Method,"T-DINEOF, based on the tensor SVD (T-SVD)",10.5194/os-22-2101-2026,0,2026,No,MATLAB,,,
2. EOF / mode decomposition,Method,DINEOF applied to TSM in the Channel,10.12681/mms.64,,2011,Yes,Fortran,https://github.com/aida-alvera/DINEOF,,
3. Classical machine learning,Application,Neural network (NN) algorithm to derive Chlorophyll a (Chl) concentrations,10.6119/JMST.2018.02_(1).0004,??,2018,No,,,,
3. Classical machine learning,Method,Random forest based regression ensemble,10.1016/j.rse.2018.12.023,99,2019,No,,,Ensemble approach improves robustness over single trees; handles nonlinear multivariate predictors well,"Less effective at capturing fine spatial coherence than spatially-aware methods (EOF, CNN)"
3. Classical machine learning,Method,Support vector regression,10.1109/TGRS.2020.3016473,83,2020,No,,,Effective for moderate-sized datasets with nonlinear relationships; flexible kernel choice,Poor scalability to very large satellite datasets; sensitive to kernel/hyperparameter choice
3. Classical machine learning,Application,Self-organising maps for satellite chlorophyll images,10.1016/j.rse.2012.11.025,75,2013,Yes,MATLAB,http://www.cis.hut.fi/somtoolbox/,Captures nonlinear relationships and clusters similar spatial patterns without a strict physical model,Topology/map-size choice affects results; less precise than EOF methods for smooth continuous fields
3. Classical machine learning,Method,Ocean Color Observations,10.1155/2016/6156513,65,2015,No,,,Learns an empirical transfer function between predictors and ocean color product; computationally lightweight,"Purely empirical; may not generalize outside training conditions (new sensors, regions)"
3. Classical machine learning,Method,Neural Network Based Kalman Filters for the Spatio-Temporal Interpolation of SST,10.3390/rs10121864,40,2018,No,,,,
3. Classical machine learning,Method,machine learning-based Extreme Gradient Boosting,10.1016/j.scitotenv.2022.156981,32,2022,No,,,Handles nonlinear relationships and mixed data types well; fast to train and interpretable via feature importance,Tree-based methods struggle to extrapolate spatially beyond the training data distribution
3. Classical machine learning,Method,Random-forest ensemble reconstruction,10.3390/rs12111898,28,2020,No,,,Robust to noisy/sparse satellite+in-situ training data; provides variable-importance diagnostics,Limited ability to extrapolate to conditions/regions not represented in training data
3. Classical machine learning,Method,"4 ML techniques (K-nearest neighbour (KNN), Support Vector Regression (SVR), Random Forest Regression (RFR), and Artificial Neural Network (ANN)) on MODIS chlorophyll-a ",10.1080/01431161.2021.1957513,16,2021,No,,,,
3. Classical machine learning,Method,random forest regression (RFR) model,10.5194/essd-14-2081-2022,15,2022,Yes,MATLAB,https://github.com/jonathansharp/RFR-CCS,,
3. Classical machine learning,Method,Artificial Neural Network-based SST algorithm,10.1007/s10661-017-6010-7,14,2017,Yes,MATLAB,,Simple shallow-ANN architecture; computationally light and easy to retrain for new regions,"Purely empirical, no physical constraints; prone to overfitting with small training sets"
3. Classical machine learning,Method,ChlOSP chlorophyll observation simulator,10.5194/gmd-17-975-2024,6,2024,No,,,Standardized synthetic testbed for comparing gap-filling algorithms under controlled sampling scenarios,Simulated data may not capture real-world noise/cloud complexity; not a gap-filling method itself
3. Classical machine learning,Method,ITCOMP-SOM,10.1016/j.procs.2015.05.375,0,2015,No,,,"Handles very sparse, irregularly sampled in-situ data (e.g. gliders) via topological mapping",SOM performance is sensitive to map size/topology choices; less suited to dense gridded satellite gaps
4. Deep learning (CNN/autoencoder),Method,Neural network,10.5194/gmd-13-1609-2020 ,136,2020,Yes,Python,https://github.com/gher-uliege/DINCAE.jl,"Convolutional autoencoder provides both reconstruction and pointwise error estimates; open-source, actively maintained, multivariate-capable (v2.0)",Requires a GPU and reasonably large training datasets; less interpretable than EOF-based DINEOF
4. Deep learning (CNN/autoencoder),Method,Neural network,10.5194/gmd-15-2183-2022,65,2022,Yes,Julia,https://github.com/gher-uliege/DINCAE,,
4. Deep learning (CNN/autoencoder),Application,DINCAE applied to chlorophyll-a gap reconstruction,10.3390/rs12030480,59,2020,No,,,Extends DINCAE's convolutional autoencoder approach to ocean color; provides built-in error estimates,Publication/DOI unverified; chlorophyll's higher dynamic range/noise may challenge reconstruction accuracy
4. Deep learning (CNN/autoencoder),Application,Neural network,10.3390/rs12030480,59,2020,No,,,Demonstrates DINCAE's applicability to a new regional/sensor dataset,Application study only; no methodological advance beyond original DINCAE
4. Deep learning (CNN/autoencoder),Method,"ANN inferring 3D chlorophyll-a & temperature fields, Mediterranean",10.3390/rs12244123,56,2020,No,,,Extends 2D surface reconstruction to full 3D subsurface fields using multivariate satellite + float inputs,Needs substantial Argo profile training data; accuracy degrades in poorly sampled regions/depths
4. Deep learning (CNN/autoencoder),Method,Multi-mode CNN chlorophyll-a from physical drivers,10.3389/fmars.2023.1077623,40,2023,No,,,"Incorporates physical driver variables (e.g. SST, wind) alongside chlorophyll for improved reconstruction",Dependent on availability and quality of auxiliary physical driver data
4. Deep learning (CNN/autoencoder),Method,"Convolutional auto-encoder (ConvAE) or a CNN-based ""Gibbs energy"" network (GENN)",10.3389/fams.2021.655224,33,2021,Yes,Python,https://github.com/CIA-Oceanix/DINAE_keras,,
4. Deep learning (CNN/autoencoder),Method,Deep Code Regression (deep learning),10.1016/j.jag.2021.102599,28,2021,No,,,Learns a compact latent 'code' representation for regression-based gap-filling; efficient inference,Requires a sufficiently large training dataset; latent codes have limited interpretability
4. Deep learning (CNN/autoencoder),Method,OCNET -- CNN reconstruction of global daily chlorophyll-a,10.5194/essd-15-5281-2023,27,2023,No,,,Produces a global daily gap-free chlorophyll-a product; scalable for operational use,Global model may underperform in regions with atypical optical properties (e.g. case-2 coastal waters)
4. Deep learning (CNN/autoencoder),Application,Chlorophyll-a satellite data in Bohai and Yellow sea with DINCAE,10.1080/01431161.2022.2090872,23,2022,No,,,Demonstrates DINCAE application to a new regional/sensor dataset,Application-only study; no new methodological contribution
4. Deep learning (CNN/autoencoder),Method,Attention-augmented ConvLSTM for ocean reflectance prediction,10.1016/j.jag.2024.103815,22,2024,No,,,Captures both spatial patterns and temporal dynamics; attention weighting highlights informative time steps,"Higher compute cost than plain CNN; publication/DOI not confirmed, limiting verifiability"
4. Deep learning (CNN/autoencoder),Method,CNN,10.5194/os-20-1035-2024,19,2024,No,,,Convolutional architecture efficiently captures local spatial patterns for gap-filling,Original category label (GAN) unclear from title; verify whether an adversarial component is actually present
4. Deep learning (CNN/autoencoder),Method,Artificial Neural Networks to reconstruct Mediterranean SST,10.5194/npg-15-61-2008,19,2008,No,,,,
4. Deep learning (CNN/autoencoder),Method,PGFCTS,10.1016/j.rse.2024.114245,14,2024,No,?,,"Cascaded, progressive gap-filling improves reconstruction of both fine- and coarse-scale gaps sequentially",Multi-stage cascade adds computational and implementation complexity
4. Deep learning (CNN/autoencoder),Method,"TS-RBFNN (i.e., Temporal-Spatial Radial Basis Function Neural Network",10.1016/j.rse.2024.114339,12,2024,No,,,,
4. Deep learning (CNN/autoencoder),Method,Denoising diffusion model,10.5194/os-20-1567-2024,8,2024,Yes,Julia,https://github.com/gher-uliege/DINDiff.jl,,
4. Deep learning (CNN/autoencoder),Method,Double U-Net gap-filling,10.3390/ijgi13050162,6,2024,No,,,Two-stage U-Net improves reconstruction of both large and small gaps in geostationary SST,Increased architecture complexity and training cost vs. a single U-Net
4. Deep learning (CNN/autoencoder),Method,U-Nets Method,10.3390/ijgi13050162,6,2024,Yes,Python,https://github.com/Arcturion/unet-gap-filling/,Open-source implementation; convolutional encoder-decoder well suited to spatial gap-filling,Requires substantial paired training data; less interpretable than EOF methods
4. Deep learning (CNN/autoencoder),Method,Convolutional Neural Network model (U-Net),10.1016/j.apor.2026.105038,1,2026,Yes,Python,https://github.com/asperti/SST_reconstruction,,
5. GAN-based (generative),Method,C-GAN super-resolution,arXiv:2511.22610,NA,2025,No,,,Performs gap-filling and spatial super-resolution simultaneously; sharp mesoscale-feature recovery,"Preprint, not peer-reviewed; adversarial training instability; risk of hallucinated fine-scale structure"
5. GAN-based (generative),Method,Uncertainty-Guided Adversarial Diffusion Model for Sea Surface Temperature Super-Resolution,10.1109/TGRS.2026.3677438,??,2026,Yes,Python,https://github.com/huanglab-research/UADM,,
5. GAN-based (generative),Method,DCGAN inpainting of cloud-covered SST,10.1109/LGRS.2018.2870880,97,2018,No,,,"Effective at reconstructing large, irregular cloud gaps via learned inpainting priors",DCGAN training can be unstable; risk of unrealistic artifacts in very large gaps
5. GAN-based (generative),Method,Deep Convolutional Models,10.3390/rs14051159,48,2022,Yes,Python,https://github.com/bbuong/dADR-SR,Open-source implementation available; convolutional super-resolution improves fine-scale detail recovery,GAN-based training complexity; reproducibility depends on the repository being maintained
5. GAN-based (generative),Method,Spatio-Temporal Attention Generative Adversarial Network for Missing Value Imputation in Satellite Data,10.3390/rs15010088,31,2022,No,,,Combines spatiotemporal attention with adversarial training for improved missing-value imputation,Complex architecture increases training difficulty and computational cost
5. GAN-based (generative),Method,GANFilling to fill gaps in Sentinel-2 reflectances,10.1016/j.isprsjprs.2025.01.016,20,2025,Yes,Python,https://github.com/mariagonzc/GANFilling,,
5. GAN-based (generative),Method,SpatioSpectral Generative Adversarial Network (SSGAN),10.1016/j.eja.2024.127333,17,2024,No,,,,
5. GAN-based (generative),Method,"GAN-based subsurface temperature reconstruction, China marginal seas",10.1029/2022EA002804,14,2023,No,,,Extends gap-filling reconstruction below the sea surface,Sparse subsurface in-situ validation data complicates rigorous accuracy assessment
5. GAN-based (generative),Method,"Transfer-learning GAN, SSH downscaling via SST fusion",10.3390/rs16050763,8,2024,No,,,Transfer learning reduces training-data requirements; fuses SST to improve SSH downscaling/gap-filling,Transferability across regions/sensors not fully established; adversarial training instability
5. GAN-based (generative),Method,DGAN for SST prediction/reconstruction,10.1109/JSTARS.2024.3439022,5,2024,No,,,Combines prediction and reconstruction tasks within a single adversarial framework,Adversarial training instability; limited interpretability of learned uncertainty
5. GAN-based (generative),Method,"PARAN: physics-assisted adversarial network, hourly geostationary SST",10.1016/j.rse.2025.114749,4,2025,No,,,"Physics-informed loss constrains reconstructions to be physically plausible, mitigating GAN hallucination risk",Requires careful tuning of physics-loss weighting; added complexity vs. a standard GAN
5. GAN-based (generative),Method,CCGAN: context-conditional GAN for chlorophyll-a gap reconstruction,10.3390/jmse11091814,3,2023,No,,,Conditions generation on observed context for spatial consistency; realistic texture recovery,Training instability typical of GANs; limited built-in uncertainty estimates
5. GAN-based (generative),Method,Denoising and Inpainting of Sea Surface Temperature Image with Adversarial Physical Model Loss,10.1007/978-3-030-41404-7_24,6,2020,No,,,,
6. Transformer / attention-based,Method,Deep-learning benchmark (CNN/ViT/inpainting),arXiv:2412.03413,NA,2025,No,,,"Compares CNN, ViT and inpainting approaches under consistent conditions; highlights transformer potential",Preprint status; benchmark scope limited to SST under simulated cloud occlusion
6. Transformer / attention-based,Method,"Extension of the traditional U-Net architecture, using ""Attention Gates""",10.3390/rs15030546,13,2023,,,,"Attention gates highlight relevant spatial features, improving reconstruction near sharp gradients (fronts, eddies)","More parameters/training data required than baseline U-Net; benefits diminish for smooth, low-variability fields"
6. Transformer / attention-based,Method,Super Resolution of Satellite-Derived Sea Surface Temperature Using a Transformer-Based Model,10.3390/rs15225376,13,2023,No,,,,
6. Transformer / attention-based,Method,MAESSTRO (masked autoencoder / ViT),10.5194/os-20-1309-2024,9,2024,Yes,Python,https://doi.org/10.5281/zenodo.13799966,Self-supervised masked-autoencoder pretraining leverages large unlabeled SST archives; captures long-range spatial dependencies,Computationally intensive to train; newer approach with less validation history than DINCAE/DINEOF
6. Transformer / attention-based,Method,CRITER (Coarse Reconstruction with ITerative Refinement Network),10.5194/gmd-18-5549-2025,1,2025,Yes,Python,https://github.com/Matjaz12/CRITER,,
Other: numerical model,Method,Use a numerical model (M3D; Baltic) to fill gaps ,10.1016/j.jag.2018.09.002,56,2018,No,,,Other (numerical/dynamical model),Requires a calibrated regional numerical model; computationally expensive; model bias can propagate into filled fields
Other: numerical model,Method,Deep-learning interpolation of sea surface height from simulated satellite obs,10.1080/01431160903491420,33,2011,No,,,Learns from realistic simulated satellite sampling patterns; applicable to upcoming missions such as SWOT,Trained/tested on simulated rather than real gaps; transfer to real observational data unverified
Other: numerical model,Method,CLOINet :ocean-state reconstruction from RS + sparse in-situ,10.3389/fmars.2024.1151868,12,2024,No,,,Fuses remote sensing with sparse in-situ observations for full ocean-state reconstruction,Performance depends heavily on in-situ network density; DOI/peer-review status unclear
Other: numerical model,Method,DL interpolation of SSH from simulated satellite obs.,10.1029/2023MS004047,12,2024,No,,,Learns from realistic simulated satellite sampling patterns; applicable to upcoming missions such as SWOT,Trained/tested on simulated rather than real gaps; transfer to real observational data unverified
Other: numerical model,Method,Joint DL reconstruction of dynamic topography + SST,10.5194/os-21-199-2025,5,2025,No,,,"Jointly reconstructs dynamically linked variables (SSH, SST), enforcing physical consistency between them",Requires paired multivariate training data; complexity grows with the number of jointly reconstructed variables
Other: numerical model,Method,Adaptive Spatio-TEmporal Neighbors with two-point differences,10.1080/17538947.2025.2500525,2,2025,No,,,Exploits spatiotemporal neighbor correlations without requiring model training; well suited to sparse subsurface in-situ data,Neighbor-search performance is sensitive to local data density; limited validation beyond subsurface temperature datasets
Review / cross-cutting,Review/survey,Comparative benchmark of 10 algorithms,10.3390/rs12203313,51,2020,No,,,Broad empirical comparison spanning method families aids algorithm selection,Findings tied to specific study region/sensor; may not transfer to other datasets
Review / cross-cutting,Review/survey,Reconstruction Methods in Oceanographic Satellite Data Observation,10.3390/jmse11020340,34,2023,No,,,Broad survey covering 130+ reconstruction papers across multiple method families; useful entry point for the literature,"As with any survey, risk of becoming outdated as new deep-learning methods rapidly emerge"
Review / cross-cutting,Review/survey,Review of Machine Learning Applications in Ocean Color Remote Sensing,10.3390/rs17101776,31,2025,No,,,,
Review / cross-cutting,Review/survey,"Comparison OI, DINEOF and analog data assimilation (AnDA), and neural-network interpolation schemes based on a variational formulation (4DVarNet)",10.3390/rs13173537,7,2021,Yes,Python,https://github.com/Jvient/OSSE_BoB-4DVarNet,,
Review / cross-cutting,Review/survey,Comparison DINEOF/DINCAE,10.5194/gmd-19-1619-2026,1,2026,Yes,"Fortran, Julia",https://github.com/EhsanMehdipour/PFT_gapfilling,Direct head-to-head benchmark of the two dominant EOF- and CNN-based approaches; open code for reproducibility,Focused on phytoplankton functional types; conclusions may not extend to other ocean variables
Review / cross-cutting,Review/survey,DINEOF vs DINCAE benchmark,10.5194/gmd-19-1619-2026,1,2026,No,,,Direct head-to-head benchmark of the two dominant EOF- and CNN-based approaches; open code for reproducibility,Focused on phytoplankton functional types; conclusions may not extend to other ocean variables
Review / cross-cutting,Review/survey,Review regression and interpolation problems for the offshore energy sector,10.1016/j.apor.2026.104997,1,2026,No,,,,
Review / cross-cutting,Review/survey,Comparative ML evaluation (kriging vs DINEOF vs RF),10.3390/rs18111736,0,2026,No,,,"Empirically compares statistical, EOF and ML approaches on the same estuarine dataset",Chesapeake Bay case study; conclusions may not generalize to open ocean or other sensors
